episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.16479520898428746,True,False
2,460.0,702,1087,0.2,0.025979083650533787,0.8828327919763979,True,False
3,430.0,506,1593,0.2,0.027948304171138628,4.001869833999081,True,False
4,680.0,920,2513,0.2,0.026404508344737974,7.882235208991915,True,False
5,470.0,483,2996,0.2,0.024370704865090794,9.306349999998929,True,False
6,510.0,438,3434,0.2,0.027981129097389142,10.558127625001362,True,False
7,430.0,374,3808,0.2,0.03332692325521419,11.638025583990384,True,False
8,420.0,499,4307,0.2,0.0349430029464495,13.090399791981326,True,False
9,1370.0,977,5284,0.2,0.03812375779320695,15.965815167000983,True,False
10,190.0,412,5696,0.2,0.037070684252505745,17.15975541700027,True,False
11,430.0,499,6195,0.2,0.03764489433735669,18.62651258398546,True,False
12,320.0,371,6566,0.2,0.041920089433270115,19.695963624981232,True,False
13,440.0,508,7074,0.2,0.03867897511951215,21.13772579198121,True,False
14,460.0,450,7524,0.2,0.03508137413547827,22.508237624977482,True,False
15,1760.0,874,8398,0.2,0.04198361126761542,25.093408124987036,True,False
16,1280.0,775,9173,0.2,0.04383630412822762,27.332872583996505,True,False
17,850.0,606,9779,0.2,0.042186511344344216,29.203936166974017,True,False
18,870.0,758,10537,0.2,0.04350971866055931,31.367154791980283,True,False
19,2050.0,743,11280,0.2,0.04839603490226211,33.536414916976355,True,False
20,120.0,401,11681,0.2,0.04346023512538522,34.71429287499632,True,False
21,930.0,981,12662,0.2,0.047825812004810696,37.53285154199693,True,False
22,290.0,399,13061,0.2,0.047428547870367765,38.75625174999004,True,False
23,970.0,817,13878,0.2,0.04739098684570076,41.13573091698345,True,False
24,1320.0,884,14762,0.2,0.04382277455294665,43.719133334001526,True,False
25,480.0,510,15272,0.2,0.04256386229280906,45.210612833994674,True,False
26,490.0,649,15921,0.2,0.046316873229016765,50.33730024998658,True,False
27,880.0,834,16755,0.2,0.04503478335055451,54.44462220897549,True,False
28,310.0,396,17151,0.2,0.048422845849541554,55.6111462089757,True,False
29,550.0,534,17685,0.2,0.046781127507895676,57.14809024997521,True,False
30,1050.0,595,18280,0.2,0.049778280782844596,58.928364124993095,True,False
31,620.0,816,19096,0.2,0.04465311152664214,61.25318920897553,True,False
32,760.0,675,19771,0.2,0.04437005491594651,63.43604754199623,True,False
33,2030.0,824,20595,0.2,0.048992055133708474,65.8250359169906,True,False
34,280.0,403,20998,0.2,0.04723984054704704,66.99819808398024,True,False
35,390.0,522,21520,0.2,0.05482425432979264,68.63704116697772,True,False
36,380.0,539,22059,0.2,0.052670749853045415,70.18632820897619,True,False
37,1030.0,800,22859,0.2,0.05020728192757815,72.47197774998494,True,False
38,280.0,408,23267,0.2,0.047987729005113826,73.67718774999958,True,False
39,790.0,868,24135,0.2,0.047971636401317706,76.18291212499025,True,False
40,660.0,641,24776,0.2,0.0492900076166073,78.03592949997983,True,False
41,920.0,756,25532,0.2,0.053936850139132096,80.34834341699025,True,False
